timestamp,mood,entry,ai_response,sentiment
2025-08-05 10:00:00,negative,I feel anxious about deadlines and can’t seem to focus.,It's completely normal to feel this way during busy times. Try mindfulness or short breaks to recenter. You’re not alone.,
2025-08-04 14:30:00,neutral,I'm not feeling much of anything today.,Neutral days are valid. Reflect gently or do something small for yourself today.,
2025-08-03 20:15:00,positive,Had a great day with friends!,That sounds amazing! Social connection is so good for well-being. Savor it.,
2025-08-02 19:45:00,negative,I feel really behind on everything.,It’s okay to feel overwhelmed. Break things into smaller steps and remember you’ve done hard things before.,
2025-08-01 08:00:00,positive,I started journaling again!,That’s a great step toward self-reflection. Keep going — your voice matters.,
,,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks and practice self-care during this stressful time.",Neutral
,,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way sometimes.,Neutral
,,I feel proud of myself for completing my tasks.,That's wonderful to hear! Congratulations on completing your tasks.,Positive
,,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way sometimes, and remember that you're not alone in experiencing challenges.",Neutral
,,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's completely normal to feel this way at times. Remember to take things one step at a time and be kind to yourself.,Neutral
,,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself during challenging times.,Neutral
,,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take some deep breaths and break down your tasks into manageable chunks. You've got this!",Neutral
,,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to take care of yourself and reach out if you need someone to talk to.,Neutral
,,Why does everything feel so hard lately?,"I'm sorry to hear that everything feels difficult right now. It's okay to feel this way, and you're not alone.",Neutral
,,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. Tomorrow is a new opportunity for something special to happen.,Neutral
,,Nothing special happened today. Just a regular day.,It's okay to have regular days too. They help us appreciate the special ones even more.,Neutral
,,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and rejuvenating afternoon. That sounds lovely.,Positive
,,I'm exhausted. I don’t know how much more I can take.,"I'm sorry to hear that you're feeling this way. It's okay to feel exhausted sometimes, but remember to take care of yourself and reach out for support if you need it.",Neutral
,,I feel proud of myself for completing my tasks.,That's fantastic to hear! Completing tasks can be a great accomplishment.,Positive
,,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's important to take care of yourself during moments like this.,Negative
,,I’m not sure how I feel today. Just going through the motions.,It's okay to have days like that. Remember to be kind to yourself and take things one step at a time.,Neutral
,,Today was a great day! I had fun with my friends.,I'm glad to hear that you had a great day with your friends!,Positive
,,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your upcoming exams and deadlines. It's completely normal to feel this way, but remember to take breaks and practice self-care during this stressful time.",Neutral
,,Nothing special happened today. Just a regular day.,It's okay to have regular days too. They can be a nice break from the chaos of life.,Neutral
,,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Hang in there!,Positive
,,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself and reach out for support when needed.,Neutral
,,Why does everything feel so hard lately?,"I'm sorry to hear that things have been feeling difficult for you lately. It's okay to feel this way, and it's important to take care of yourself during challenging times.",Neutral
,,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself and reach out for support if needed.,Neutral
,,I'm feeling really overwhelmed and can't focus.,I'm sorry to hear that you're feeling overwhelmed. It's okay to feel this way sometimes. Remember to take small breaks and breathe. You've got this.,Neutral
,,I'm exhausted. I don’t know how much more I can take.,I'm sorry to hear that you're feeling this way. It's important to take care of yourself during these tough times.,Neutral
,,I'm hopeful things will improve soon.,I'm glad to hear you're feeling hopeful. Keep holding onto that positivity.,Positive
,,I had a relaxing afternoon reading and sipping tea.,That sounds like a lovely way to spend your afternoon.,Positive
,,Nothing special happened today. Just a regular day.,It's okay to have regular days sometimes. They can be a nice break from the chaos of life.,Neutral
,,I had a relaxing afternoon reading and sipping tea.,It sounds like you had a peaceful and calming afternoon. I'm glad you were able to relax and enjoy some quiet time.,Positive
,,Why does everything feel so hard lately?,"I'm sorry to hear that everything feels difficult for you right now. It's okay to feel this way, and I'm here to support you.",Neutral
,,I feel anxious about upcoming exams and deadlines.,"I'm sorry to hear that you're feeling anxious about your exams and deadlines. It's completely normal to feel this way, but remember to take breaks, prioritize self-care, and reach out for support if needed.",Neutral
